latitude,longitude,date,died,injured,weather,day_part,accident_type
41.3466,69.359,2020-03-19 17:45:00,0,1,,kunduz,piyodani urib yuborish
41.2197,69.2242,2020-03-19 01:45:00,0,1,,tun,turgan TVga urilish
41.2945,69.2668,2020-03-19 02:30:00,2,1,,tun,to'siqqa urilish
41.3479,69.3155,2020-03-20 13:20:00,0,2,,kunduz,to'qnashuv
41.2923,69.2252,2020-03-21 16:55:00,0,1,,kunduz,piyodani urib yuborish
41.246,69.31,2020-03-22 17:30:00,0,1,,kunduz,piyodani urib yuborish
41.2613,69.3175,2020-03-22 05:50:00,0,1,,tun,to'siqqa urilish
41.2946,69.2908,2020-03-23 16:00:00,0,2,,kunduz,to'qnashuv
41.2482,69.3914,2020-03-24 21:50:00,0,1,,kech,piyodani urib yuborish
41.2374,69.3227,2020-03-26 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.2268,69.1792,2020-03-25 14:00:00,0,1,,kunduz,to'qnashuv
41.329,69.3548,2020-03-28 01:20:00,0,2,,tun,to'qnashuv
41.3013,69.194,2020-03-28 17:10:00,0,1,,kunduz,piyodani urib yuborish
41.4064,69.465,2020-03-27 23:45:00,0,2,,kech,to'qnashuv
41.272,69.2083,2020-03-28 15:50:00,0,1,,kunduz,piyodani urib yuborish
41.4065,69.4613,2020-03-28 19:45:00,0,2,,kech,to'qnashuv
41.3113,69.2816,2020-03-30 23:35:00,0,2,,kech,to'siqqa urilish
41.2141,69.2285,2020-03-31 12:00:00,0,1,,tong,piyodani urib yuborish
41.3206,69.2345,2020-03-31 20:45:00,0,1,,kech,piyodani urib yuborish
41.3294,69.2556,2020-03-31 09:00:00,0,1,,tong,YTHning boshqa turlari
41.3291,69.2049,2020-03-31 23:00:00,0,1,,kech,to'qnashuv
41.338,69.257,2020-03-31 11:00:00,0,1,,tong,to'qnashuv
41.3299,69.2366,2020-04-01 13:30:00,0,1,,kunduz,piyodani urib yuborish
41.2375,69.3289,2020-04-01 15:40:00,0,1,,kunduz,piyodani urib yuborish
41.2453,69.3568,2020-04-01 07:00:00,0,1,,tong,piyodani urib yuborish
41.3592,69.2147,2020-04-01 20:00:00,0,1,,kech,piyodani urib yuborish
